destination_country,destination_partner,profitability_per_txn,cost_per_txn,reversal_per_txn,success_percentage,failure_percentage,less_15m,greater_15m,Total_Rank,Average_Rank
Netherlands,#####,-4.352964,3.495296,0,77.778,22.222,6,1,10,3.33
New Zealand,#####,-4.796022,3.486,0,60.976,39.024,0,25,3,1
Nicaragua,#####,-6.468,4.648,0,58.824,41.176,8,12,3,1
Niger,#####,-1.028412,0.764596,0,100,0,3,2,3,1
Nigeria,#####,6.021708,0.13944,0,97.532,2.468,50699,3211,8,2.67
Nigeria,#####,5.766222,1.162,0,95.959,4.041,81198,15485,9,3
Nigeria,#####,3.318084,1.201508,0.004,94.659,5.341,32251,14536,13,4.33
Nigeria,#####,7.402626,0.4648,0,93.003,6.997,8139,461,13,4.33
Nigeria,#####,13.79301,0.411348,0.004,89.275,10.725,20888,4406,14,4.67
Nigeria,#####,-1.329174,0.9296,0,100,0,7,1,20,6.67
Nigeria,#####,-0.24255,2.607528,0.003,92.499,7.501,1883,867,20,6.67
Nigeria,#####,2.567796,0.581,0,91.599,8.401,270,68,21,7
Nigeria,#####,-3.373062,2.324,0,100,0,5,0,22,7.33
Nigeria,#####,-1.849848,1.6268,0,64.516,35.484,39,1,27,9
Nigeria,#####,-4.851,3.486,0,59.091,40.909,22,4,31,10.33
Norway,#####,4.954488,0.3486,0,100,0,53,8,4,1.33
Norway,#####,6.535914,0.250992,0.005,96.04,3.96,11,183,5,1.67
Pakistan,#####,6.830208,0.053452,0.013,98.846,1.154,115623,16986,5,1.67
Pakistan,#####,13.023318,0.041832,0.003,97.249,2.751,187710,31594,5,1.67
Pakistan,#####,6.261024,1.385104,0.009,97.914,2.086,18027,607,10,3.33
Pakistan,#####,3.343956,1.378132,0.001,96.986,3.014,63204,5002,12,4
Pakistan,#####,4.935084,0.460152,0.008,84.714,15.286,20713,5157,14,4.67
Pakistan,#####,-13.38876,2.726052,0.003,89.818,10.182,241,9312,17,5.67
Panama,#####,-4.3659,3.1374,0,15,85,0,3,3,1
Paraguay,#####,-0.43659,2.324,0,58.824,41.176,0,10,4,1.33
Paraguay,#####,-3.230766,2.324,0,8.824,91.176,0,3,5,1.67
Peru,#####,-3.221064,2.324,0,100,0,0,4,6,2
Peru,#####,-4.847766,3.486,0,100,0,17,3,7,2.33
Peru,#####,5.633628,2.042796,0,40,60,0,36,9,3
Peru,#####,0.239316,2.972396,0,20.339,79.661,0,24,10,3.33
Peru,#####,-5.575416,2.014908,0,13.636,86.364,0,15,13,4.33
Philippines,#####,1.723722,0.99932,0,98.378,1.622,13963831,740,10,3.33
Philippines,#####,3.405402,0.501984,0,97.855,2.145,3440575,423820,11,3.67
Philippines,#####,8.042958,2.0335,0,98.485,1.515,6999,541,11,3.67
Philippines,#####,1.60083,0.73206,0,99.719,0.281,275007,28,12,4
Philippines,#####,11.315766,1.029532,0,97.407,2.593,59623,19681,12,4
Philippines,#####,5.733882,0.132468,0,95.795,4.205,1841938,272140,13,4.33
Philippines,#####,4.243008,1.020236,0,97.778,2.222,21652,8894,15,5
Philippines,#####,1.338876,0.808752,0,94.618,5.382,10,5000,24,8
Philippines,#####,-4.369134,3.495296,0,50,50,7,0,27,9
Poland,#####,4.938318,0.343952,0.005,94.052,5.948,1266,202,4,1.33
Poland,#####,11.244618,0.253316,0.007,78.722,21.278,350,956,5,1.67
Poland,#####,2.228226,1.594264,0,66.667,33.333,0,2,10,3.33
Poland,#####,-3.8808,2.7888,0,10,90,1,0,11,3.67
Portugal,#####,0.772926,0.260288,0.001,99.361,0.639,365934,56341,5,1.67
Portugal,#####,1.128666,0.250992,0,97.785,2.215,92417,2296,6,2
